SCAT2D
BEGSET
NAME  "planar"
ID 17255
DELEV 0.0
IXY   5000
    4615      28.0000     184.0000
    4614      26.0000     184.0000
    4613      24.0000     184.0000
    4612      22.0000     184.0000
    4611      20.0000     184.0000
    4610      18.0000     184.0000
    4609      16.0000     184.0000
    4608      14.0000     184.0000
    4607      12.0000     184.0000
    4606      10.0000     184.0000
    4605       8.0000     184.0000
    4604       6.0000     184.0000
    4603       4.0000     184.0000
    4602       2.0000     184.0000
    4601       0.5000     184.0000
    4600      98.0000     182.0000
    4599      96.0000     182.0000
    4598      94.0000     182.0000
    4597      92.0000     182.0000
    4596      90.0000     182.0000
    4595      88.0000     182.0000
    4594      86.0000     182.0000
    4593      84.0000     182.0000
    4592      82.0000     182.0000
    4591      80.0000     182.0000
    4590      78.0000     182.0000
    4589      76.0000     182.0000
    4588      74.0000     182.0000
    4587      72.0000     182.0000
    4586      70.0000     182.0000
    4585      68.0000     182.0000
    4584      66.0000     182.0000
    4583      64.0000     182.0000
    4582      62.0000     182.0000
    4581      60.0000     182.0000
    4580      58.0000     182.0000
    4579      56.0000     182.0000
    4578      54.0000     182.0000
    4577      52.0000     182.0000
    4576      50.0000     182.0000
    4575      48.0000     182.0000
    4574      46.0000     182.0000
    4573      44.0000     182.0000
    4572      42.0000     182.0000
    4571      40.0000     182.0000
    4570      38.0000     182.0000
    4569      36.0000     182.0000
    4568      34.0000     182.0000
    4567      32.0000     182.0000
    4566      30.0000     182.0000
    4565      28.0000     182.0000
    4564      26.0000     182.0000
    4563      24.0000     182.0000
    4562      22.0000     182.0000
    4561      20.0000     182.0000
    4560      18.0000     182.0000
    4559      16.0000     182.0000
    4558      14.0000     182.0000
    4557      12.0000     182.0000
    4556      10.0000     182.0000
    4555       8.0000     182.0000
    4554       6.0000     182.0000
    4553       4.0000     182.0000
    4552       2.0000     182.0000
    4551       0.5000     182.0000
    4550      98.0000     180.0000
    4549      96.0000     180.0000
    4548      94.0000     180.0000
    4547      92.0000     180.0000
    4546      90.0000     180.0000
    4545      88.0000     180.0000
    4544      86.0000     180.0000
    4543      84.0000     180.0000
    4542      82.0000     180.0000
    4541      80.0000     180.0000
    4540      78.0000     180.0000
    4539      76.0000     180.0000
    4538      74.0000     180.0000
    4537      72.0000     180.0000
    4536      70.0000     180.0000
    4535      68.0000     180.0000
    4534      66.0000     180.0000
    4533      64.0000     180.0000
    4532      62.0000     180.0000
    4531      60.0000     180.0000
    4530      58.0000     180.0000
    4529      56.0000     180.0000
    4528      54.0000     180.0000
    4527      52.0000     180.0000
    4526      50.0000     180.0000
    4525      48.0000     180.0000
    4524      46.0000     180.0000
    4523      44.0000     180.0000
    4522      42.0000     180.0000
    4521      40.0000     180.0000
    4520      38.0000     180.0000
    4519      36.0000     180.0000
    4518      34.0000     180.0000
    4517      32.0000     180.0000
    4516      30.0000     180.0000
    4515      28.0000     180.0000
    4514      26.0000     180.0000
    4513      24.0000     180.0000
    4512      22.0000     180.0000
    4511      20.0000     180.0000
    4510      18.0000     180.0000
    4509      16.0000     180.0000
    4508      14.0000     180.0000
    4507      12.0000     180.0000
    4506      10.0000     180.0000
    4505       8.0000     180.0000
    4504       6.0000     180.0000
    4503       4.0000     180.0000
    4502       2.0000     180.0000
    4501       0.5000     180.0000
    4500      98.0000     178.0000
    4499      96.0000     178.0000
    4498      94.0000     178.0000
    4497      92.0000     178.0000
    4496      90.0000     178.0000
    4495      88.0000     178.0000
    4494      86.0000     178.0000
    4493      84.0000     178.0000
